address,is_fraud,balance,tx_count,avg_tx_value,active_days,first_seen
bc1q000000,1,8.875455336740705,14,32.95259269836232,330,1676089876
bc1q000001,0,0.6604770490186055,6,15.080344309952284,66,1692840160
bc1q000002,1,13.960233099434124,22,54.8025987483005,358,1634055851
bc1q000003,0,96.4562530438768,6,4.680356445330889,341,1680408886
bc1q000004,0,0.495365143771049,6,182.20171205716338,158,1637630680
bc1q000005,0,0.49538954275107416,6,14.822699672242269,256,1628468934
bc1q000006,0,114.16427803820194,7,2.779205660715107,338,1671999025
bc1q000007,0,9.997191339149465,7,8.898685946536752,35,1673782257
bc1q000008,0,0.24452856226632455,7,0.6088691436710142,309,1638108089
bc1q000009,0,5.092048119946809,6,4.005345033533063,167,1681536841
bc1q00000a,0,0.2490122770185817,8,17.460627000586864,22,1627076389
bc1q00000b,0,0.2472910587195328,4,25.111829155044962,67,1704849175
bc1q00000c,0,2.0665629459875006,6,3.253318506563046,198,1657106490
bc1q00000d,0,0.0032152803194510763,8,1750.717276179086,100,1657837209
bc1q00000e,0,0.005657611357201573,3,5.236139623161866,336,1664001245
bc1q00000f,0,0.1850993469090771,9,0.2574864750626547,195,1617292506
bc1q000010,0,0.04790701372305916,5,83.64104629749126,100,1609729003
bc1q000011,0,2.5670105141886648,3,24.884736105650454,75,1696474194
bc1q000012,0,0.06560704296237806,6,11.744413044193617,17,1632330208
bc1q000013,0,0.014452164200089233,6,2.9158408014476827,147,1677787569
bc1q000014,1,162.40504415689202,31,16.227267918021926,250,1670757503
bc1q000015,0,0.5079720251818709,7,188.29925740880893,255,1616557429
bc1q000016,0,1.224563696049052,9,11.05923554358276,188,1667931041
bc1q000017,0,0.013922562426681915,5,0.39060159635331826,328,1610794213
bc1q000018,0,0.19531372372958916,4,0.007396797324983121,346,1693095695
bc1q000019,0,1.3948233398163974,7,15.944582578355089,240,1657081786
bc1q00001a,0,0.031651152021623205,5,1.0285735273870318,307,1692141568
bc1q00001b,0,3.086673750719985,3,6.053124380130785,176,1664166184
bc1q00001c,0,0.16498246726022028,4,1.4649846344341912,313,1635319707
bc1q00001d,0,0.41682815127384676,2,1.2689401590187837,32,1690069518
bc1q00001e,0,0.16445474768393456,10,1.5991172103171427,335,1697865295
bc1q00001f,0,259.001681388722,6,1.9160183948727707,122,1688330413
bc1q000020,0,0.9603171598734848,4,34.89948166057866,324,1693606950
bc1q000021,0,0.0418722154875438,5,23.272853285390802,28,1626543296
bc1q000022,0,11.794516691494133,4,0.6596950173911144,189,1680883288
bc1q000023,0,0.02566746737349905,5,0.8663472643233561,333,1627929034
bc1q000024,0,1.8712203002470191,7,15.772119756041944,140,1654181629
bc1q000025,1,0.00559510488563006,17,60.64303144128878,271,1641625833
bc1q000026,0,0.018600661270913577,3,58.808283440921194,285,1697742474
bc1q000027,0,1.8050417245419066,7,0.9941992083796024,343,1686997189
bc1q000028,0,9.165072025218679,4,53.44338470671419,269,1630317345
bc1q000029,0,1.6721410038784434,7,0.2117097028998568,294,1660483377
bc1q00002a,0,0.7068443116506052,3,4.924541461274948,186,1668224683
bc1q00002b,0,0.4052256985339534,9,19.57107841126042,110,1668038669
bc1q00002c,0,0.011848358181287356,4,0.11560107469895597,255,1622888643
bc1q00002d,0,0.11537903369300057,7,485.7595984727541,35,1635588190
bc1q00002e,0,0.25109691147373653,5,104.94016871161391,332,1641726292
bc1q00002f,0,23.84004378123702,6,26.95066425470437,222,1698352031
bc1q000030,0,2.8034614020247632,7,1.0724476772725997,110,1623938870
bc1q000031,0,0.005046196609488593,2,6.4481466655637885,261,1677705293
bc1q000032,0,2.6438915617231835,6,35.903699471342954,2,1666566040
bc1q000033,0,0.3149797773050461,8,0.782451660652773,234,1659347675
bc1q000034,0,0.13123495653995204,7,5.150282345408272,286,1683978446
bc1q000035,1,12.530630001364916,25,45.639232096486154,99,1699931059
bc1q000036,0,22.04307662851502,8,0.3718777887517097,119,1661591223
bc1q000037,0,16.343664948709353,5,14.365786212357076,10,1675475058
bc1q000038,0,0.08064870192796968,4,0.22101178364120583,73,1641690861
bc1q000039,0,0.39548709275994043,9,1.1188557248965914,209,1708219499
bc1q00003a,0,2.701454398818253,5,2.6934281532177033,124,1641148309
bc1q00003b,0,18.664725047920065,6,20.63752922666887,38,1690291246
bc1q00003c,1,0.4750308484381647,17,1.819245391377192,94,1669450437
bc1q00003d,0,0.5729384815967217,4,9.498147529128719,233,1614260274
bc1q00003e,0,0.03618882454575609,10,1.8692620445243489,163,1642635333
bc1q00003f,0,0.02763644594123266,9,2.556825514894419,327,1698202998
bc1q000040,0,11.445280563628765,7,90.1363041834129,140,1650275926
bc1q000041,0,58.482062641819674,4,0.7404802206130185,242,1632576985
bc1q000042,0,0.8057108363011698,6,33.72731178635426,170,1658313290
bc1q000043,0,20.299549499853967,6,7.373350594798852,98,1676676315
