,Open,High,Low,Close,Volume
2020-04-01 00:00:00+00:00,182.07559330648985,183.5170061688113,181.92029808174703,182.07559330648985,6120477.234580481
2020-04-02 00:00:00+00:00,182.07559330648985,185.30582914948738,175.62945454469778,175.7078205406587,10112570.08806217
2020-04-03 00:00:00+00:00,175.7078205406587,183.72935531070584,174.3477579767729,180.52843442677275,11749716.48454383
2020-04-04 00:00:00+00:00,180.52843442677275,189.76498897822924,177.65799352876334,186.71960664707564,10819404.530167155
2020-04-05 00:00:00+00:00,186.71960664707564,189.4031539428131,173.7676430663963,174.53439535786484,15082692.184805928
2020-04-06 00:00:00+00:00,174.53439535786484,175.3799008837531,165.16728228983058,166.891774849831,4019272.5342677315
2020-04-07 00:00:00+00:00,166.891774849831,168.74330415290873,164.83608461967535,167.77435668705564,15168802.996739207
2020-04-08 00:00:00+00:00,167.77435668705564,169.42711716601787,165.8785565269068,166.06038228583694,7721792.668418172
2020-04-09 00:00:00+00:00,166.06038228583694,167.77215171018256,165.6027519610247,166.09558408988173,12350071.857127078
2020-04-10 00:00:00+00:00,166.09558408988173,167.60689623860523,160.37680232984454,161.33886311190662,4898592.896964215
2020-04-11 00:00:00+00:00,161.33886311190662,168.4233445819014,159.39284583577538,166.5150710379175,8905953.232849162
2020-04-12 00:00:00+00:00,166.5150710379175,172.50590641111617,165.19916370570306,171.24727075330665,9882952.35819159
2020-04-13 00:00:00+00:00,171.24727075330665,174.0973514524424,168.98415052391422,171.78086334868308,14947998.464642832
2020-04-14 00:00:00+00:00,171.78086334868308,179.9104097837167,169.09820256170562,178.83669240286972,4354130.182409318
2020-04-15 00:00:00+00:00,178.83669240286972,183.0154224753598,176.3954461908452,181.9325262496719,9009937.085697897
2020-04-16 00:00:00+00:00,181.9325262496719,182.34916398139933,173.52796617690277,176.68361500103288,5452823.571463627
2020-04-17 00:00:00+00:00,176.68361500103288,179.73040682710936,174.28451666952097,179.12196180412747,11155834.805006996
2020-04-18 00:00:00+00:00,179.12196180412747,181.86420723510722,170.68981213445707,173.348849224636,12606806.71337637
2020-04-19 00:00:00+00:00,173.348849224636,180.34159146810637,170.75163371791825,178.90443743512898,15858665.198601136
2020-04-20 00:00:00+00:00,178.90443743512898,179.63823548205977,176.3855891917034,178.73502240458708,6984728.951551975
2020-04-21 00:00:00+00:00,178.73502240458708,181.17799767804115,175.15943412273427,177.72442999778875,13487203.68303419
2020-04-22 00:00:00+00:00,177.72442999778875,179.49663763446478,170.75576082145648,173.67776735302644,16393667.896491626
2020-04-23 00:00:00+00:00,173.67776735302644,181.48470008726602,172.19217413544808,181.41561553224386,4241972.212693016
2020-04-24 00:00:00+00:00,181.41561553224386,182.44868788548538,178.5067487621644,180.58147943362988,11705334.242652547
2020-04-25 00:00:00+00:00,180.58147943362988,181.15681661390823,176.38665222796786,178.0368607550924,13678421.337594902
